timestamp,index,name,memory.used [MiB],memory.total [MiB],utilization.gpu [%],temperature.gpu
1752744970,0, NVIDIA L40S, 617, 46068, 0, 60
1752744970,1, NVIDIA L40S, 3, 46068, 0, 35
1752744970,2, NVIDIA L40S, 3, 46068, 0, 38
1752744971,0, NVIDIA L40S, 0, 46068, 0, 60
1752744971,1, NVIDIA L40S, 0, 46068, 0, 36
1752744971,2, NVIDIA L40S, 0, 46068, 0, 38
1752744972,0, NVIDIA L40S, 0, 46068, 0, 60
1752744972,1, NVIDIA L40S, 0, 46068, 0, 36
1752744972,2, NVIDIA L40S, 0, 46068, 0, 38
1752744973,0, NVIDIA L40S, 0, 46068, 0, 59
1752744973,1, NVIDIA L40S, 0, 46068, 0, 35
1752744973,2, NVIDIA L40S, 0, 46068, 0, 38
1752744974,0, NVIDIA L40S, 0, 46068, 0, 59
1752744974,1, NVIDIA L40S, 0, 46068, 0, 35
1752744974,2, NVIDIA L40S, 0, 46068, 0, 38
1752744975,0, NVIDIA L40S, 0, 46068, 0, 58
1752744975,1, NVIDIA L40S, 0, 46068, 0, 35
1752744975,2, NVIDIA L40S, 0, 46068, 0, 38
1752744976,0, NVIDIA L40S, 511, 46068, 0, 59
1752744976,1, NVIDIA L40S, 3, 46068, 0, 35
1752744976,2, NVIDIA L40S, 3, 46068, 0, 38
1752744977,0, NVIDIA L40S, 511, 46068, 0, 60
1752744977,1, NVIDIA L40S, 3, 46068, 0, 35
1752744977,2, NVIDIA L40S, 3, 46068, 0, 38
1752744978,0, NVIDIA L40S, 511, 46068, 0, 60
1752744978,1, NVIDIA L40S, 3, 46068, 0, 35
1752744978,2, NVIDIA L40S, 3, 46068, 0, 38
1752744979,0, NVIDIA L40S, 511, 46068, 0, 60
1752744979,1, NVIDIA L40S, 3, 46068, 0, 35
1752744979,2, NVIDIA L40S, 3, 46068, 0, 38
1752744980,0, NVIDIA L40S, 511, 46068, 0, 60
1752744980,1, NVIDIA L40S, 3, 46068, 0, 35
1752744980,2, NVIDIA L40S, 3, 46068, 0, 38
1752744981,0, NVIDIA L40S, 511, 46068, 0, 60
1752744981,1, NVIDIA L40S, 3, 46068, 0, 35
1752744981,2, NVIDIA L40S, 3, 46068, 0, 38
1752744982,0, NVIDIA L40S, 511, 46068, 0, 60
1752744982,1, NVIDIA L40S, 3, 46068, 0, 35
1752744982,2, NVIDIA L40S, 3, 46068, 0, 38
1752744983,0, NVIDIA L40S, 511, 46068, 0, 60
1752744983,1, NVIDIA L40S, 3, 46068, 0, 35
1752744983,2, NVIDIA L40S, 3, 46068, 0, 38
1752744984,0, NVIDIA L40S, 511, 46068, 0, 60
1752744984,1, NVIDIA L40S, 3, 46068, 0, 35
1752744984,2, NVIDIA L40S, 3, 46068, 0, 38
1752744985,0, NVIDIA L40S, 511, 46068, 0, 60
1752744985,1, NVIDIA L40S, 3, 46068, 0, 35
1752744985,2, NVIDIA L40S, 3, 46068, 0, 38
1752744986,0, NVIDIA L40S, 511, 46068, 0, 60
1752744986,1, NVIDIA L40S, 3, 46068, 0, 35
1752744986,2, NVIDIA L40S, 3, 46068, 0, 38
1752744987,0, NVIDIA L40S, 511, 46068, 0, 60
1752744987,1, NVIDIA L40S, 3, 46068, 0, 35
1752744987,2, NVIDIA L40S, 3, 46068, 0, 38
1752744988,0, NVIDIA L40S, 511, 46068, 0, 60
1752744988,1, NVIDIA L40S, 3, 46068, 0, 35
1752744988,2, NVIDIA L40S, 3, 46068, 0, 38
1752744989,0, NVIDIA L40S, 511, 46068, 0, 60
1752744989,1, NVIDIA L40S, 3, 46068, 0, 35
1752744989,2, NVIDIA L40S, 3, 46068, 0, 38
1752744990,0, NVIDIA L40S, 511, 46068, 0, 60
1752744990,1, NVIDIA L40S, 3, 46068, 0, 35
1752744990,2, NVIDIA L40S, 3, 46068, 0, 38
1752744991,0, NVIDIA L40S, 511, 46068, 0, 60
1752744991,1, NVIDIA L40S, 3, 46068, 0, 35
1752744991,2, NVIDIA L40S, 3, 46068, 0, 38
1752744992,0, NVIDIA L40S, 511, 46068, 0, 60
1752744992,1, NVIDIA L40S, 3, 46068, 0, 35
1752744992,2, NVIDIA L40S, 3, 46068, 0, 38
1752744993,0, NVIDIA L40S, 511, 46068, 0, 60
1752744993,1, NVIDIA L40S, 3, 46068, 0, 35
1752744993,2, NVIDIA L40S, 3, 46068, 0, 38
1752744994,0, NVIDIA L40S, 511, 46068, 0, 60
1752744994,1, NVIDIA L40S, 3, 46068, 0, 35
1752744994,2, NVIDIA L40S, 3, 46068, 0, 38
1752744995,0, NVIDIA L40S, 511, 46068, 0, 60
1752744995,1, NVIDIA L40S, 3, 46068, 0, 35
1752744995,2, NVIDIA L40S, 3, 46068, 0, 38
1752744996,0, NVIDIA L40S, 511, 46068, 0, 60
1752744996,1, NVIDIA L40S, 3, 46068, 0, 35
1752744996,2, NVIDIA L40S, 3, 46068, 0, 38
1752744997,0, NVIDIA L40S, 511, 46068, 0, 60
1752744997,1, NVIDIA L40S, 3, 46068, 0, 35
1752744997,2, NVIDIA L40S, 3, 46068, 0, 38
1752744998,0, NVIDIA L40S, 511, 46068, 0, 60
1752744998,1, NVIDIA L40S, 3, 46068, 0, 35
1752744998,2, NVIDIA L40S, 3, 46068, 0, 38
1752744999,0, NVIDIA L40S, 511, 46068, 0, 60
1752744999,1, NVIDIA L40S, 3, 46068, 0, 35
1752744999,2, NVIDIA L40S, 3, 46068, 0, 38
1752745000,0, NVIDIA L40S, 511, 46068, 0, 60
1752745000,1, NVIDIA L40S, 3, 46068, 0, 35
1752745000,2, NVIDIA L40S, 3, 46068, 0, 38
1752745002,0, NVIDIA L40S, 511, 46068, 0, 60
1752745002,1, NVIDIA L40S, 3, 46068, 0, 35
1752745002,2, NVIDIA L40S, 3, 46068, 0, 38
1752745003,0, NVIDIA L40S, 511, 46068, 0, 60
1752745003,1, NVIDIA L40S, 3, 46068, 0, 35
1752745003,2, NVIDIA L40S, 3, 46068, 0, 38
1752745004,0, NVIDIA L40S, 511, 46068, 0, 60
1752745004,1, NVIDIA L40S, 3, 46068, 0, 35
1752745004,2, NVIDIA L40S, 3, 46068, 0, 38
1752745005,0, NVIDIA L40S, 511, 46068, 0, 60
1752745005,1, NVIDIA L40S, 3, 46068, 0, 35
1752745005,2, NVIDIA L40S, 3, 46068, 0, 38
1752745006,0, NVIDIA L40S, 511, 46068, 0, 60
1752745006,1, NVIDIA L40S, 3, 46068, 0, 35
1752745006,2, NVIDIA L40S, 3, 46068, 0, 38
1752745007,0, NVIDIA L40S, 511, 46068, 0, 60
1752745007,1, NVIDIA L40S, 3, 46068, 0, 35
1752745007,2, NVIDIA L40S, 3, 46068, 0, 38
1752745008,0, NVIDIA L40S, 511, 46068, 0, 60
1752745008,1, NVIDIA L40S, 3, 46068, 0, 35
1752745008,2, NVIDIA L40S, 3, 46068, 0, 38
1752745009,0, NVIDIA L40S, 511, 46068, 0, 60
1752745009,1, NVIDIA L40S, 3, 46068, 0, 35
1752745009,2, NVIDIA L40S, 3, 46068, 0, 38
1752745010,0, NVIDIA L40S, 511, 46068, 0, 60
1752745010,1, NVIDIA L40S, 3, 46068, 0, 35
1752745010,2, NVIDIA L40S, 3, 46068, 0, 38
1752745011,0, NVIDIA L40S, 511, 46068, 0, 60
1752745011,1, NVIDIA L40S, 3, 46068, 0, 35
1752745011,2, NVIDIA L40S, 3, 46068, 0, 38
1752745012,0, NVIDIA L40S, 511, 46068, 0, 60
1752745012,1, NVIDIA L40S, 3, 46068, 0, 35
1752745012,2, NVIDIA L40S, 3, 46068, 0, 38
1752745013,0, NVIDIA L40S, 511, 46068, 0, 60
1752745013,1, NVIDIA L40S, 3, 46068, 0, 35
1752745013,2, NVIDIA L40S, 3, 46068, 0, 38
